code,name
150822,内蒙古自治区巴彦淖尔市磴口县
150823,内蒙古自治区巴彦淖尔市乌拉特前旗
150824,内蒙古自治区巴彦淖尔市乌拉特中旗
150825,内蒙古自治区巴彦淖尔市乌拉特后旗
150826,内蒙古自治区巴彦淖尔市杭锦后旗
152900,内蒙古自治区阿拉善盟
152921,内蒙古自治区阿拉善盟阿拉善左旗
152922,内蒙古自治区阿拉善盟阿拉善右旗
152923,内蒙古自治区阿拉善盟额济纳旗
210000,辽宁省
210100,辽宁省沈阳市
210101,辽宁省沈阳市市辖区
210102,辽宁省沈阳市和平区
210103,辽宁省沈阳市沈河区
210104,辽宁省沈阳市大东区
210105,辽宁省沈阳市皇姑区
210106,辽宁省沈阳市铁西区
210111,辽宁省沈阳市苏家屯区
210112,辽宁省沈阳市东陵区
210113,辽宁省沈阳市新城子区
210114,辽宁省沈阳市于洪区
210122,辽宁省沈阳市辽中县
210123,辽宁省沈阳市康平县
210124,辽宁省沈阳市法库县
210181,辽宁省沈阳市新民市
210200,辽宁省大连市
210201,辽宁省大连市市辖区
210202,辽宁省大连市中山区
210203,辽宁省大连市西岗区
210204,辽宁省大连市沙河口区
210211,辽宁省大连市甘井子区
210212,辽宁省大连市旅顺口区
210213,辽宁省大连市金州区
210224,辽宁省大连市长海县
210281,辽宁省大连市瓦房店市
210282,辽宁省大连市普兰店市
210283,辽宁省大连市庄河市
210300,辽宁省鞍山市
210301,辽宁省鞍山市市辖区
210302,辽宁省鞍山市铁东区
210303,辽宁省鞍山市铁西区
210304,辽宁省鞍山市立山区
210311,辽宁省鞍山市千山区
210321,辽宁省鞍山市台安县
210323,辽宁省鞍山市岫岩满族自治县
210381,辽宁省鞍山市海城市
210400,辽宁省抚顺市
210401,辽宁省抚顺市市辖区
210402,辽宁省抚顺市新抚区
210403,辽宁省抚顺市露天区
210404,辽宁省抚顺市望花区
210411,辽宁省抚顺市顺城区
210421,辽宁省抚顺市抚顺县
210422,辽宁省抚顺市新宾满族自治县
210423,辽宁省抚顺市清原满族自治县
210500,辽宁省本溪市
210501,辽宁省本溪市市辖区
210502,辽宁省本溪市平山区
210503,辽宁省本溪市溪湖区
210504,辽宁省本溪市明山区
210505,辽宁省本溪市南芬区
210521,辽宁省本溪市本溪满族自治县
210522,辽宁省本溪市桓仁满族自治县
210600,辽宁省丹东市
210601,辽宁省丹东市市辖区
210602,辽宁省丹东市元宝区
210603,辽宁省丹东市振兴区
210604,辽宁省丹东市振安区
210624,辽宁省丹东市宽甸满族自治县
210681,辽宁省丹东市东港市
210682,辽宁省丹东市凤城市
210700,辽宁省锦州市
210701,辽宁省锦州市市辖区
210702,辽宁省锦州市古塔区
210703,辽宁省锦州市凌河区
210711,辽宁省锦州市太和区
210726,辽宁省锦州市黑山县
210727,辽宁省锦州市义县
210781,辽宁省锦州市凌海市
210782,辽宁省锦州市北宁市
210800,辽宁省营口市
210801,辽宁省营口市市辖区
210802,辽宁省营口市站前区
210803,辽宁省营口市西市区
210804,辽宁省营口市鲅鱼圈区
210811,辽宁省营口市老边区
210881,辽宁省营口市盖州市
210882,辽宁省营口市大石桥市
210900,辽宁省阜新市
210901,辽宁省阜新市市辖区
210902,辽宁省阜新市海州区
210903,辽宁省阜新市新邱区
210904,辽宁省阜新市太平区
210905,辽宁省阜新市清河门区
210911,辽宁省阜新市细河区
210921,辽宁省阜新市阜新蒙古族自治县
210922,辽宁省阜新市彰武县
211000,辽宁省辽阳市
211001,辽宁省辽阳市市辖区
211002,辽宁省辽阳市白塔区
211003,辽宁省辽阳市文圣区
211004,辽宁省辽阳市宏伟区
211005,辽宁省辽阳市弓长岭区
211011,辽宁省辽阳市太子河区
211021,辽宁省辽阳市辽阳县
211081,辽宁省辽阳市灯塔市
211100,辽宁省盘锦市
211101,辽宁省盘锦市市辖区
211102,辽宁省盘锦市双台子区
211103,辽宁省盘锦市兴隆台区
211121,辽宁省盘锦市大洼县
211122,辽宁省盘锦市盘山县
211200,辽宁省铁岭市
211201,辽宁省铁岭市市辖区
211202,辽宁省铁岭市银州区
211204,辽宁省铁岭市清河区
211221,辽宁省铁岭市铁岭县
211223,辽宁省铁岭市西丰县
211224,辽宁省铁岭市昌图县
211281,辽宁省铁岭市铁法市
211282,辽宁省铁岭市开原市
211300,辽宁省朝阳市
211301,辽宁省朝阳市市辖区
211302,辽宁省朝阳市双塔区
211303,辽宁省朝阳市龙城区
211321,辽宁省朝阳市朝阳县
211322,辽宁省朝阳市建平县
211324,辽宁省朝阳市喀喇沁左翼蒙古族自治县
211381,辽宁省朝阳市北票市
211382,辽宁省朝阳市凌源市
211400,辽宁省葫芦岛市
211401,辽宁省葫芦岛市市辖区
211402,辽宁省葫芦岛市连山区
211403,辽宁省葫芦岛市龙港区
211404,辽宁省葫芦岛市南票区
211421,辽宁省葫芦岛市绥中县
211422,辽宁省葫芦岛市建昌县
211481,辽宁省葫芦岛市兴城市
220000,吉林省
220100,吉林省长春市
220101,吉林省长春市市辖区
220102,吉林省长春市南关区
220103,吉林省长春市宽城区
220104,吉林省长春市朝阳区
220105,吉林省长春市二道区
220106,吉林省长春市绿园区
220112,吉林省长春市双阳区
220122,吉林省长春市农安县
220181,吉林省长春市九台市
220182,吉林省长春市榆树市
220183,吉林省长春市德惠市
220200,吉林省吉林市
220201,吉林省吉林市市辖区
220202,吉林省吉林市昌邑区
220203,吉林省吉林市龙潭区
220204,吉林省吉林市船营区
220211,吉林省吉林市丰满区
220221,吉林省吉林市永吉县
220281,吉林省吉林市蛟河市
220282,吉林省吉林市桦甸市
220283,吉林省吉林市舒兰市
220284,吉林省吉林市磐石市
220300,吉林省四平市
220301,吉林省四平市市辖区
220302,吉林省四平市铁西区
220303,吉林省四平市铁东区
220322,吉林省四平市梨树县
220323,吉林省四平市伊通满族自治县
220381,吉林省四平市公主岭市
220382,吉林省四平市双辽市
220400,吉林省辽源市
220401,吉林省辽源市市辖区
220402,吉林省辽源市龙山区
220403,吉林省辽源市西安区
220421,吉林省辽源市东丰县
220422,吉林省辽源市东辽县
220500,吉林省通化市
220501,吉林省通化市市辖区
220502,吉林省通化市东昌区
220503,吉林省通化市二道江区
220521,吉林省通化市通化县
220523,吉林省通化市辉南县
220524,吉林省通化市柳河县
